Rank,Title,Release,Runtime,Rated,Ratings
141,Jurassic Park,1993,127,PG-13,8.2
142,Casino,1995,178,R,8.2
143,The Sixth Sense,1999,107,PG-13,8.2
144,Ran,1985,160,R,8.2
145,Top Gun: Maverick,2022,130,PG-13,8.2
146,No Country for Old Men,2007,122,R,8.2
147,The Thing,1982,109,R,8.2
148,Pan's Labyrinth,2006,118,R,8.2
149,Unforgiven,1992,130,R,8.2
150,A Beautiful Mind,2001,135,PG-13,8.2
151,Kill Bill: Vol. 1,2003,111,R,8.2
152,The Treasure of the Sierra Madre,1948,126,Approved,8.2
153,Yojimbo,1961,110,Not Rated,8.2
154,Prisoners,2013,153,R,8.2
155,Finding Nemo,2003,100,G,8.2
156,The Great Escape,1963,172,Approved,8.2
157,Monty Python and the Holy Grail,1975,91,PG,8.2
158,Howl's Moving Castle,2004,119,PG,8.2
159,The Elephant Man,1980,124,PG,8.2
160,The Wild Robot,2024,102,PG,8.2
161,Dial M for Murder,1954,105,PG,8.2
162,Rashomon,1950,88,Not Rated,8.2
163,Gone with the Wind,1939,238,G,8.2
164,Chinatown,1974,130,R,8.1
165,The Secret in Their Eyes,2009,129,R,8.2
166,"Lock, Stock and Two Smoking Barrels",1998,107,R,8.1
167,Klaus,2019,96,PG,8.2
168,V for Vendetta,2005,132,R,8.1
169,Inside Out,2015,95,PG,8.1
170,"Three Billboards Outside Ebbing, Missouri",2017,115,R,8.1
171,Raging Bull,1980,129,R,8.1
172,Trainspotting,1996,93,R,8.1
173,The Bridge on the River Kwai,1957,161,PG,8.1
174,Catch Me If You Can,2002,141,PG-13,8.1
175,Fargo,1996,98,R,8.1
176,Warrior,2011,140,PG-13,8.1
177,Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,8.1
178,Gran Torino,2008,116,R,8.1
179,Spider-Man: No Way Home,2021,148,PG-13,8.2
180,Million Dollar Baby,2004,132,PG-13,8.1
181,My Neighbor Totoro,1988,86,G,8.1
182,Mad Max: Fury Road,2015,120,R,8.1
183,Ben-Hur,1959,212,G,8.1
184,Children of Heaven,1997,89,PG,8.2
185,Barry Lyndon,1975,185,PG,8.1
186,12 Years a Slave,2013,134,R,8.1
187,Before Sunrise,1995,101,R,8.1
188,Blade Runner,1982,117,R,8.1
189,The Grand Budapest Hotel,2014,99,R,8.1
190,Dead Poets Society,1989,128,PG,8.1
191,Hacksaw Ridge,2016,139,R,8.1
192,Gone Girl,2014,149,R,8.1
193,Memories of Murder,2003,132,Not Rated,8.1
194,In the Name of the Father,1993,133,R,8.1
195,"Monsters, Inc.",2001,92,G,8.1
196,The Gold Rush,1925,95,Approved,8.1
197,Ratatouille,2007,111,G,8.1
198,Wild Tales,2014,122,R,8.1
199,How to Train Your Dragon,2010,98,PG,8.1
200,Jaws,1975,124,PG,8.1
201,Sherlock Jr.,1924,#VALUE!,Passed,8.2
202,The Deer Hunter,1978,183,R,8.1
203,Mary and Max,2009,92,Not Rated,8.1
204,The General,1926,78,Passed,8.1
205,The Wages of Fear,1953,156,Not Rated,8.1
206,Ford v Ferrari,2019,152,PG-13,8.1
207,On the Waterfront,1954,108,Approved,8.1
208,Maharaja,2024,141,Not Rated,8.4
209,Mr. Smith Goes to Washington,1939,129,Approved,8.1
210,Wild Strawberries,1957,92,Not Rated,8.1
211,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,87,Not Rated,8.6
212,The Third Man,1949,104,Approved,8.1
213,Logan,2017,137,R,8.1
